,mTead_p63_down_genes,mTead_p63_up_genes,mYapTaz_KO_down_genes,mYapTaz_KO_up_genes,mYapTaz_Wang_genes
372,,,D8Ertd82e,Zbtb7c,
373,,,Gfra4,Wipi1,
374,,,Bcam,Mlph,
375,,,Igsf6,Cfh,
376,,,Adam12,Jam2,
377,,,Sesn2,Slc46a3,
378,,,Hoxa4,Ankrd33b,
379,,,Plekhg1,2610035D17Rik,
380,,,Yars,Syt7,
381,,,Papss2,1700001L05Rik,
382,,,Nusap1,Tmprss4,
383,,,Idh2,Ctss,
384,,,Ltbp1,Pald1,
385,,,Dsg3,Mir505,
386,,,Ephx1,Rgs4,
387,,,Itgb4,Prdm1,
388,,,Il17re,6430548M08Rik,
389,,,Ampd3,Ogfrl1,
390,,,Ccdc122,Rac2,
391,,,Cxcl16,Zdhhc2,
392,,,Mars,Clec11a,
393,,,Slc27a3,Mir15a,
394,,,Ttyh2,Ighv9-4,
395,,,Ngfrap1,Pax9,
396,,,Mtap2,Mical2,
397,,,Naip5,Gm19474,
398,,,Ncam1,Etv5,
399,,,Rrm2,Avil,
400,,,Msn,Rnf186,
401,,,1190007F08Rik,Tmem8,
402,,,Itpripl1,Naaladl2,
403,,,Nt5e,Akap17b,
404,,,Tpd52l1,Pip5k1b,
405,,,Rab34,Pir,
406,,,Wwtr1,Ubxn10,
407,,,Plau,Insig1,
408,,,Sorbs2,Mir23a,
409,,,Prkch,Gm7265,
410,,,Tmem159,Esyt1,
411,,,LOC100861902,Srsx,
412,,,Trp63,Rerg,
413,,,Rnf144b,Lyzl4,
414,,,Trim43b,Calcrl,
415,,,Tfrc,Rgs2,
416,,,Ncaph,N4bp3,
417,,,Cmbl,Pdgfrl,
418,,,Loxl1,Bmp2,
419,,,Il34,,
420,,,Htatip2,,
421,,,Vnn3,,
422,,,Pcdhga8,,
423,,,Csrp2,,
424,,,Mafb,,
425,,,Fcgr3,,
426,,,Pcdh7,,
427,,,Rnf39,,
428,,,Anln,,
429,,,Tmem47,,
430,,,Gm9892,,
431,,,Prkcdbp,,
432,,,Cpne8,,
433,,,Macc1,,
434,,,Ifi202b,,
435,,,Lypd6,,
436,,,LOC100862174,,
437,,,4930588N13Rik,,
438,,,Ltb,,
439,,,Tpm2,,
440,,,1700025G04Rik,,
441,,,Trim16,,
442,,,Vgll3,,
443,,,4833423E24Rik,,
444,,,Efnb2,,
445,,,Barx2,,
446,,,Gm13580,,
447,,,Nuf2,,
448,,,Plxdc2,,
449,,,LOC100862216,,
450,,,Pxdn,,
451,,,Arhgap23,,
452,,,Prdm5,,
453,,,Gmpr,,
454,,,Cdk1,,
455,,,Ptn,,
456,,,1700009P17Rik,,
457,,,Pak6,,
458,,,Pycr1,,
459,,,Dck,,
460,,,Lmcd1,,
461,,,Ddit4l,,
462,,,Mis18bp1,,
463,,,Afmid,,
464,,,Sox6,,
465,,,Adcy3,,
