SCLC-A,SCLC-A2,SCLC-N,SCLC-P,SCLC-Y
PHC2,COBL,TFR2,ENDOD1,TRIM16L
NPIPA5,CPM,CHST3,LYAR,HAPLN3
JAKMIP2,THEG,ANKRD33B,ELOVL6,SH3D19
ZNF189,SERPINB1,RASL11B,ELF1,LRP1
SOWAHA,NEUROG3,OSBPL6,AIFM2,HSBP1L1
ZSCAN12,ITGA3,SEC23A,LRP5,SMARCD3
ZC3H6,TGFBR3,LRTM2,ART5,NOTCH1
MDM2,PPP4R4,TSPAN5,ACOT9,FOSL2
PLEKHO1,PRRG4,RASL10B,EFR3A,RBMS2
ZNF660,TREX1,EEPD1,CASP6,SNAP23
CCP110,ETV6,DLX4,OVOL1,CMTM3
FAM92B,RGS17,PHYHIP,MET,MAP3K8
TNFRSF25,EPB41L4B,GPR26,CAT,BMP1
LRRC36,CYB5R1,SLC29A4,SOX7,LPAR3
UBL4B,LNX1,ESRRG,ACP6,LRRC6
ZNF682,GALNT7,RTN4R,RALGPS2,REEP6
LIMD2,LYPD6B,CACNA1C,RTKN,KIF13A
MLLT11,RASA3,KCNJ6,TINAGL1,GALNT4
SOCS3,PSD4,RAPGEF5,DCHS2,EVC
SNX19,BLK,AK4,KLF15,RDH10
UCP3,MBOAT1,TTC7B,COL25A1,FIBCD1
IFT52,TESK2,KREMEN1,MTA3,INPP4B
ZNF606,FAM155A,CHRNA7,IL6R,C1QL4
NFYB,SH2D4A,TRAP1,NFKB2,ITGB3
WRAP73,PHF11,PCDH8,PTPRJ,ACTN1
NFATC3,TNFRSF11B,TRIM7,ARHGEF4,ANLN
USP49,ID2,FAM13C,NBPF10,FGFR3
OPN1SW,JUN,HOXC8,PIR,BTNL9
RRAGB,KLF4,DOC2A,ANKRD33B,TTC23
FAM221A,PHGR1,DUSP26,CHAT,APOBEC3G
ZFHX3,FAM83F,TMEM177,SLC22A23,ADORA2B
JAM3,NAT1,ITPRIPL1,PLCB3,NFKBIZ
TMEM169,RXFP3,GPHN,ZNF239,RPL39L
TCF19,FAM43A,LAMC3,EEF1D,SLIT3
FADS2,CYP1A1,ABHD6,BCL9L,MARVELD1
FANCC,ARTN,ZNF804A,GID8,UBTD1
NPIPA2,TMEM30B,SHC3,RAB3IL1,SIAE
KDM2B,CAMK1D,ADAMTS1,SLC46A3,SHISA4
IQCC,INSR,EMID1,F2RL1,CD151
MECP2,ADSSL1,ABLIM3,APBA2,TPM4
ARPP19,SPTSSA,NPW,IQGAP2,ENDOD1
DYNLT3,MCOLN3,CRTAP,LAMC1,GPR157
TCTEX1D2,IL10RB,PPP2R2C,TMEM37,SUCLG2
FAM76A,WDR49,DPH1,GFOD1,TRIM59
TMEM206,SIGIRR,KCTD8,BTN3A2,CD9
DNAL4,SERINC2,DOK4,CLCF1,SLC8B1
ZNF91,ADAMTS18,PALD1,RSAD1,GBP3
ZNF275,GRIK3,RHBDL3,C2CD2,FLNA
ZNF268,FAM102A,WSCD2,FAM83H,ARHGEF17
ZNF14,GLRA3,RASIP1,AMMECR1,NBL1
CNN3,GOLGA7B,CYP7B1,ATP1A1,NAB2
MCCC1,SORBS2,MYBBP1A,NCOA3,TSPO
ZNF547,EXPH5,NUMBL,SLC5A6,COL27A1
CHSY1,GCHFR,SYT3,GALNT6,EXT1
SPIN1,ERN1,FGFR3,DYRK4,ITPR1
ARL2BP,DLL4,NFIX,ABHD14B,ITGA3
ST20,GBP3,ARHGEF25,TAF1D,COL1A1
EPC2,RIPK3,NYNRIN,SEMA3E,ORAI3
PSIP1,CNTNAP3B,FRMD4A,CLMN,BAG2
IFT81,HEATR5A,FAM124A,TES,PKN3
TAF1A,THAP4,GABRA1,EVC,CCL28
TIGD3,BTN3A2,KLHL29,PALMD,SPATS2L
UPF3B,SPINT1,APBA2,STK38,RELB
KBTBD4,PPIE,CKB,UGDH,HELZ2
ZNF43,COTL1,SOCS1,ABCC4,PPFIBP1
ACAT2,SLC25A45,NTSR1,PRDX6,LTBP3
ERCC6L2,ABLIM2,RTN4RL1,MTMR8,DLX4
KIAA1211,PRSS23,KATNB1,TPM2,SLFN5
TMPO,HRH1,BEND6,CD81,UPP1
